frame_id,embryo_id,time_idx,cell_name,lineage,x_aligned,y_aligned,z_aligned,mah_dist,entropy,map_time,frame_is_generated,num_cells_in_frame,is_correct,div_delta,confidence_score,config_name
OOS_SPIMA_P4_tid7,OOS_SPIMA_P4,7,P2,P2,3.0195088440464977,1.1394648928788644,1.006473123122241,4.524833624304213,1.4315510599253312e-10,23.90909090909091,False,6,True,,0.905974807228737,production_model
OOS_SPIMA_P4_tid7,OOS_SPIMA_P4,7,ABar,AB,1.1567185292651916,1.010847633225089,1.201845445007169,0.5380854685726268,4.697870281165555e-09,23.90909090909091,False,6,True,,0.9679376730399741,production_model
OOS_SPIMA_P4_tid7,OOS_SPIMA_P4,7,ABal,AB,1.1686662107357515,1.0285438518808434,0.8389979869880688,3.890603269051695,0.0018509244651205758,23.90909090909091,False,6,True,,0.9104227781241521,production_model
OOS_SPIMA_P4_tid7,OOS_SPIMA_P4,7,EMS,EMS,2.1202834834410074,1.7271785709423653,0.9270649702535866,13.668610929284482,1.4315510599253315e-10,23.90909090909091,False,6,True,,0.8255466015756981,production_model
OOS_SPIMA_P4_tid7,OOS_SPIMA_P4,7,ABpr,AB,2.091967128644891,0.808422319351238,1.1537390327780315,5.223997098986151,0.017283020007019815,23.90909090909091,False,6,True,,0.865334330269111,production_model
OOS_SPIMA_P4_tid7,OOS_SPIMA_P4,7,ABpl,AB,2.150312556846733,0.7768065394778427,0.8264018573798178,0.1742235770888099,1.7509574307912878e-09,23.90909090909091,False,6,True,,0.980532182776987,production_model
OOS_SPIMA_P4_tid8,OOS_SPIMA_P4,8,P2,P2,2.920244191469957,1.1747868974306164,0.994169507291934,1.1150914075113427,1.4315510599253312e-10,23.90909090909091,False,6,True,,0.9647229070214197,production_model
OOS_SPIMA_P4_tid8,OOS_SPIMA_P4,8,ABar,AB,1.1916936186372893,1.008935097326794,1.1990209691618616,0.18737553097452433,3.1475027503766854e-09,23.90909090909091,False,6,True,,0.980532182776987,production_model
OOS_SPIMA_P4_tid8,OOS_SPIMA_P4,8,ABal,AB,1.1357375936346064,1.1042431686289698,0.7943115883814549,0.8137860530344261,2.8933836799318327e-06,23.90909090909091,False,6,True,,0.9831692049042903,production_model
OOS_SPIMA_P4_tid8,OOS_SPIMA_P4,8,EMS,EMS,2.118302409062181,1.6496509262000028,0.9463643522894897,5.092139802269215,1.4315510599253315e-10,23.90909090909091,False,6,True,,0.8634601040744017,production_model
OOS_SPIMA_P4_tid8,OOS_SPIMA_P4,8,ABpr,AB,2.1731457057268195,0.8178357848340492,1.214280507569212,1.546537751809288,4.06914428481395e-05,23.90909090909091,False,6,True,,0.9779988596076633,production_model
OOS_SPIMA_P4_tid8,OOS_SPIMA_P4,8,ABpl,AB,2.168191199692727,0.73589332215512,0.8071138346210656,0.6257933354431834,6.196095717593858e-10,23.90909090909091,False,6,True,,0.9695823567650125,production_model
OOS_SPIMA_P4_tid9,OOS_SPIMA_P4,9,P2,P2,2.862839594911473,1.2201999048673504,0.9827469490400329,0.46839439292035356,1.4315510599253312e-10,23.90909090909091,False,6,True,,0.9777971227835668,production_model
OOS_SPIMA_P4_tid9,OOS_SPIMA_P4,9,ABar,AB,1.2444760309445013,1.0185502938639754,1.1776504770530318,0.1717964893054367,9.883230993590124e-09,23.90909090909091,False,6,True,,0.980532182776987,production_model
OOS_SPIMA_P4_tid9,OOS_SPIMA_P4,9,ABal,AB,1.1536029665281498,1.1494393880115936,0.7761521909261758,0.2042942610897069,2.0104702507448726e-07,23.90909090909091,False,6,True,,0.9705321827769869,production_model
OOS_SPIMA_P4_tid9,OOS_SPIMA_P4,9,EMS,EMS,2.104287656002899,1.555895430077344,0.9664362883115023,0.3079352659135783,1.4315510599255233e-10,23.90909090909091,False,6,True,,0.980532182776987,production_model
OOS_SPIMA_P4_tid9,OOS_SPIMA_P4,9,ABpl,AB,2.1183018509275935,0.7154490112606415,0.7969068471890701,1.1003126603096758,2.5186909508833134e-10,23.90909090909091,False,6,True,,0.9647229070214197,production_model
OOS_SPIMA_P4_tid9,OOS_SPIMA_P4,9,ABpr,AB,2.223806621093894,0.8318114226949435,1.2553691311340047,0.5535967058010623,6.263868145488939e-07,23.90909090909091,False,6,True,,0.9679376730399741,production_model
