embryo_id,time_idx,cell_name,x_um,y_um,z_um,nuclear_diameter_um,valid,n_cells_frame,source_file,canonical_time
OOS_SPIMA_P4,14,ABar,17.6529,20.577,17.25,4.4403,1,8,t014-nuclei,28.5
OOS_SPIMA_P4,14,ABal,13.7541,16.353299999999997,26.25,4.2237,1,8,t014-nuclei,28.5
OOS_SPIMA_P4,14,MS,21.335099999999997,8.3391,20.25,3.3573,1,8,t014-nuclei,28.5
OOS_SPIMA_P4,14,E,31.190399999999997,11.1549,21.75,3.1407,1,8,t014-nuclei,28.5
OOS_SPIMA_P4,14,ABpl,27.2916,18.9525,27.75,4.2237,1,8,t014-nuclei,28.5
OOS_SPIMA_P4,14,ABpr,27.1833,15.8118,14.25,4.2237,1,8,t014-nuclei,28.5
OOS_SPIMA_P4,15,C,35.6307,17.6529,21.75,2.9240999999999997,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,15,P3,38.0133,12.1296,22.5,2.9240999999999997,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,15,ABar,17.5446,21.0102,18.0,4.4403,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,15,ABal,13.7541,15.3786,25.5,4.4403,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,15,MS,21.4434,8.664,19.5,3.3573,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,15,E,32.381699999999995,11.4798,21.0,3.3573,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,15,ABpl,26.8584,18.0861,27.75,4.4403,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,15,ABpr,27.7248,16.353299999999997,15.0,4.4403,1,8,t015-nuclei,28.5
OOS_SPIMA_P4,16,C,35.5224,18.844199999999997,23.25,3.1407,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,16,P3,38.2299,11.4798,21.75,3.1407,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,16,ABar,18.627599999999997,21.118499999999997,18.0,4.656899999999999,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,16,ABal,12.8877,14.6205,24.0,4.4403,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,16,MS,21.8766,9.3138,18.75,3.5738999999999996,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,16,E,33.0315,11.3715,21.75,3.3573,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,16,ABpl,25.6671,17.0031,28.5,4.2237,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,16,ABpr,28.591199999999997,16.244999999999997,15.75,4.656899999999999,1,8,t016-nuclei,28.5
OOS_SPIMA_P4,17,C,35.6307,19.2774,24.0,3.3573,1,8,t017-nuclei,28.5
OOS_SPIMA_P4,17,P3,38.8797,10.7217,21.75,3.1407,1,8,t017-nuclei,28.5
