frame_id,slice_id,cost,avg_cost,canonical_time,map_time,is_generated,init_angle,start_rank,mean_entropy,slack_count,mean_confidence,num_cells_assigned,config_name,embryo_id,time_idx,set_match,set_accuracy,positional_accuracy,num_gt_cells,num_pred_cells
OOS_SPIMA_P4_tid30,12,32.25353799207694,2.150235866138463,46.5,53.869565217391305,False,184.0,1,1.332322015739462e-05,0,0.8749782276477883,15,production_model,OOS_SPIMA_P4,30,1.0,1.0,1.0,15,15
OOS_SPIMA_P4_tid31,12,34.26372870303223,2.2842485802021484,46.5,53.869565217391305,False,184.0,1,7.734289477000639e-06,0,0.8687871291655687,15,production_model,OOS_SPIMA_P4,31,1.0,1.0,1.0,15,15
OOS_SPIMA_P4_tid32,12,33.12401776903723,2.2082678512691487,46.5,53.869565217391305,False,184.0,1,3.6465212916601305e-05,0,0.8654954427828888,15,production_model,OOS_SPIMA_P4,32,1.0,1.0,1.0,15,15
OOS_SPIMA_P4_tid33,12,36.74705916973255,2.4498039446488367,48.0,53.869565217391305,False,184.0,1,0.00010428739072181406,0,0.8407851433383103,15,production_model,OOS_SPIMA_P4,33,1.0,1.0,1.0,15,15
OOS_SPIMA_P4_tid34,15,156.72312148440716,8.706840082467064,51.0,59.0,False,176.0,3,0.07794804556997197,0,0.5484231380466862,18,production_model,OOS_SPIMA_P4,34,0.0,0.6666666666666666,0.4444444444444444,18,18
OOS_SPIMA_P4_tid35,20,97.44170209911078,4.060070920796282,52.5,61.37837837837838,False,180.0,1,0.00872897940781653,0,0.746362711032858,24,production_model,OOS_SPIMA_P4,35,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid36,20,98.7221380592671,4.113422419136129,52.5,61.37837837837838,False,176.0,1,0.009354593714625365,0,0.7433251623714724,24,production_model,OOS_SPIMA_P4,36,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid37,20,85.50848180029828,3.5628534083457617,52.5,61.37837837837838,False,176.0,1,0.004273895884045334,0,0.7707336694514416,24,production_model,OOS_SPIMA_P4,37,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid38,20,88.18187276894162,3.6742446987059005,52.5,61.37837837837838,False,176.0,1,0.0010951464947311495,0,0.77858362523459,24,production_model,OOS_SPIMA_P4,38,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid39,20,82.7863594201613,3.449431642506721,52.5,61.37837837837838,False,180.0,1,0.0016703280651867525,0,0.78611538110668,24,production_model,OOS_SPIMA_P4,39,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid40,20,85.97409462935103,3.582253942889626,52.5,61.37837837837838,False,180.0,1,0.00419469609566511,0,0.7787173946079831,24,production_model,OOS_SPIMA_P4,40,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid41,20,85.4048910205033,3.558537125854304,52.5,61.37837837837838,False,180.0,1,0.006386210092274272,0,0.7736538623324704,24,production_model,OOS_SPIMA_P4,41,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid42,20,81.74807260136389,3.406169691723495,57.0,61.37837837837838,False,184.0,1,0.010227975103763361,0,0.778463087200015,24,production_model,OOS_SPIMA_P4,42,1.0,1.0,1.0,24,24
OOS_SPIMA_P4_tid43,22,110.80550742195238,4.261750285459707,63.0,67.96923076923076,False,184.0,1,0.016511852329177523,0,0.8472933704772335,26,production_model,OOS_SPIMA_P4,43,1.0,1.0,1.0,26,26
OOS_SPIMA_P4_tid44,22,99.52601765785471,3.827923756071335,63.0,67.96923076923076,False,188.0,1,0.009389569175405042,0,0.8605291838778937,26,production_model,OOS_SPIMA_P4,44,1.0,1.0,1.0,26,26
